fusion_method,acc,weighted_f1,macro_f1,neutral_f1
concat,0.6976744186046512,0.675755638464875,0.5642771019546352,0.34615384615384615
combine,0.6744186046511628,0.671972896024247,0.5701548710362826,0.34782608695652173
attention,0.6718346253229974,0.6540678355386595,0.5263972748759767,0.2413793103448276
attention_concat,0.6821705426356589,0.6635148399375252,0.5343417873004411,0.24561403508771928
attention_combine,0.6925064599483204,0.6866727036793377,0.5960731397418314,0.4067796610169492
encoder,0.6744186046511628,0.6555613492311793,0.5272704624722563,0.25
